"country, country abbreviation, name, role, caps, goals, length, first match, birthday, club, country of club abbreviation"
Colombia,COL,Mario YEPES,Defender,102,6,186,Colombia - Germany 09 Feb 1999,13 Jan 1976,Atalanta Bergamo ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/3408.png
Colombia,COL,Santiago ARIAS,Defender,9,0,171,Paraguay - Colombia 15 Oct 2013,13 Jan 1992,PSV Eindhoven ,NED,http://img.fifa.com/images/fwc/2014/players/prt-3/315614.png
Colombia,COL,Carlos CARBONERO,Midfielder,2,0,181,Colombia - Ecuador 26 Mar 2011,25 Jul 1990,CA River Plate ,ARG,http://img.fifa.com/images/fwc/2014/players/prt-3/349514.png
Colombia,COL,Carlos SANCHEZ,Midfielder,48,0,182,Panama - Colombia 09 May 2007,06 Feb 1986,Elche CF ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/280487.png
Colombia,COL,Pablo ARMERO,Defender,58,2,174,Colombia - Venezuela 30 Apr 2008,02 Nov 1986,West Ham United FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/200213.png
Colombia,COL,Abel AGUILAR,Midfielder,52,5,187,Argentina - Colombia 27 Jun 2004,06 Jan 1985,Toulouse FC ,FRA,http://img.fifa.com/images/fwc/2014/players/prt-3/198243.png
Colombia,COL,Teofilo GUTIERREZ,Forward,34,13,180,Colombia - El Salvador 07 Aug 2009,17 May 1985,CA River Plate ,ARG,http://img.fifa.com/images/fwc/2014/players/prt-3/309716.png
Colombia,COL,James RODRIGUEZ,Midfielder,27,11,180,Bolivia - Colombia 11 Oct 2011,12 Jul 1991,AS Monaco ,FRA,http://img.fifa.com/images/fwc/2014/players/prt-3/269058.png
Colombia,COL,Juan CUADRADO,Midfielder,33,5,178,Venezuela - Colombia 03 Sep 2010,26 May 1988,ACF Fiorentina ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/309714.png
Colombia,COL,Camilo VARGAS,Goalkeeper,0,0,185,-,09 Mar 1989,Independiente Santa Fe ,COL,http://img.fifa.com/images/fwc/2014/players/prt-3/360642.png
Colombia,COL,Fredy GUARIN,Midfielder,52,4,187,Ecuador - Colombia 24 May 2006,30 Jun 1986,FC Internazionale ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/200219.png
Colombia,COL,Victor IBARBO,Forward,12,1,188,South Africa - Colombia 27 May 2010,19 May 1990,Cagliari Calcio ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/349517.png
Colombia,COL,Alexander MEJIA,Midfielder,12,0,179,Peru - Colombia 03 Jun 2012,11 Jul 1988,Atletico Nacional ,COL,http://img.fifa.com/images/fwc/2014/players/prt-3/228691.png
Colombia,COL,Eder BALANTA,Defender,4,0,181,Colombia - Tunisia 05 Mar 2014,28 Feb 1993,CA River Plate ,ARG,http://img.fifa.com/images/fwc/2014/players/prt-3/369546.png
Colombia,COL,Carlos BACCA,Forward,12,3,181,Bolivia - Colombia 11 Aug 2010,08 Sep 1986,Sevilla FC ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/349512.png
Colombia,COL,Juan ZUNIGA,Defender,56,1,171,USA - Colombia 09 Mar 2005,14 Dec 1985,SSC Napoli ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/229443.png
Colombia,COL,Adrian RAMOS,Forward,29,2,184,Colombia - Ecuador 20 Aug 2008,22 Jan 1986,Hertha BSC ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/200847.png
Colombia,COL,Juan QUINTERO,Midfielder,7,1,168,Colombia - Cameroon 16 Oct 2012,18 Jan 1993,FC Porto ,POR,http://img.fifa.com/images/fwc/2014/players/prt-3/356704.png
Colombia,COL,Jackson MARTINEZ,Forward,30,10,186,Colombia - Ecuador 05 Sep 2009,03 Oct 1986,FC Porto ,POR,http://img.fifa.com/images/fwc/2014/players/prt-3/313832.png
Colombia,COL,Faryd MONDRAGON,Goalkeeper,51,0,191,Colombia - Venezuela 21 May 1993,21 Jun 1971,Deportivo Cali ,COL,http://img.fifa.com/images/fwc/2014/players/prt-3/94918.png
Colombia,COL,Carlos VALDES,Defender,15,2,189,Colombia - Venezuela 30 Apr 2008,22 May 1985,CA San Lorenzo ,ARG,http://img.fifa.com/images/fwc/2014/players/prt-3/217117.png
Ecuador,ECU,Maximo BANGUERA,Goalkeeper,25,0,187,Ecuador - Haiti 26 Mar 2008,16 Dec 1985,Barcelona SC ,ECU,http://img.fifa.com/images/fwc/2014/players/prt-3/302630.png
Ecuador,ECU,Jorge GUAGUA,Defender,62,2,179,Peru - Ecuador 02 Jun 2001,28 Sep 1981,CS Emelec ,ECU,http://img.fifa.com/images/fwc/2014/players/prt-3/181930.png
Ecuador,ECU,Frickson ERAZO,Defender,40,1,189,Argentina - Ecuador 20 Apr 2011,05 May 1988,CR Flamengo ,BRA,http://img.fifa.com/images/fwc/2014/players/prt-3/349578.png
Ecuador,ECU,Juan PAREDES,Defender,41,0,179,Mexico - Ecuador 04 Sep 2010,08 Jul 1987,Barcelona SC ,ECU,http://img.fifa.com/images/fwc/2014/players/prt-3/349576.png
Ecuador,ECU,Alex IBARRA,Midfielder,20,0,171,Argentina - Ecuador 20 Apr 2011,20 Jan 1991,Vitesse Arnheim ,NED,http://img.fifa.com/images/fwc/2014/players/prt-3/336869.png
Ecuador,ECU,Cristhian NOBOA,Midfielder,45,2,181,Ecuador - Brazil 29 Mar 2009,09 Apr 1985,FC Dynamo Moscow ,RUS,http://img.fifa.com/images/fwc/2014/players/prt-3/279417.png
Ecuador,ECU,Jefferson MONTERO,Midfielder,43,8,170,Ecuador - Peru 21 Nov 2007,01 Sep 1989,CA Monarcas Morelia ,MEX,http://img.fifa.com/images/fwc/2014/players/prt-3/290452.png
Ecuador,ECU,Edison MENDEZ,Midfielder,112,18,175,Ecuador - Honduras 08 Mar 2000,16 Mar 1979,Independiente Santa Fe ,COL,http://img.fifa.com/images/fwc/2014/players/prt-3/178842.png
Ecuador,ECU,Joao ROJAS,Forward,31,2,173,Ecuador - Mexico 12 Nov 2008,14 Jun 1989,Cruz Azul FC ,MEX,http://img.fifa.com/images/fwc/2014/players/prt-3/305972.png
Ecuador,ECU,Walter AYOVI,Midfielder,93,8,173,USA - Ecuador 07 Jun 2001,11 Aug 1979,CF Pachuca ,MEX,http://img.fifa.com/images/fwc/2014/players/prt-3/184447.png
Ecuador,ECU,Felipe CAICEDO,Forward,53,15,183,Ecuador - Paraguay 04 May 2005,05 Sep 1988,Al Jazira SCC ,UAE,http://img.fifa.com/images/fwc/2014/players/prt-3/228715.png
Ecuador,ECU,Adrian BONE,Goalkeeper,3,0,188,Ecuador - Jamaica 02 Sep 2011,08 Sep 1988,CD El Nacional ,ECU,http://img.fifa.com/images/fwc/2014/players/prt-3/349568.png
Ecuador,ECU,Enner VALENCIA,Forward,13,7,179,Ecuador - Honduras 29 Feb 2012,04 Nov 1989,CF Pachuca ,MEX,http://img.fifa.com/images/fwc/2014/players/prt-3/373400.png
Ecuador,ECU,Oswaldo MINDA,Midfielder,18,0,183,Iran - Ecuador 17 Dec 2008,26 Jul 1983,CD Chivas USA ,USA,http://img.fifa.com/images/fwc/2014/players/prt-3/350119.png
Ecuador,ECU,Michael ARROYO,Midfielder,22,3,178,Mexico - Ecuador 07 May 2010,23 Apr 1987,Atlante FC ,MEX,http://img.fifa.com/images/fwc/2014/players/prt-3/349574.png
Ecuador,ECU,Antonio VALENCIA,Midfielder,74,8,180,Honduras - Ecuador 28 Apr 2004,04 Aug 1985,Manchester United FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/202544.png
Ecuador,ECU,Jaimen AYOVI,Forward,30,9,186,Mexico - Ecuador 04 Sep 2010,21 Feb 1988,Club Tijuana ,MEX,http://img.fifa.com/images/fwc/2014/players/prt-3/349572.png
Ecuador,ECU,Oscar BAGUI,Defender,21,0,170,Ecuador - Panama 26 Jan 2005,10 Dec 1982,CS Emelec ,ECU,http://img.fifa.com/images/fwc/2014/players/prt-3/275793.png
Ecuador,ECU,Luis SARITAMA,Midfielder,49,0,175,Ecuador - Peru 11 Jun 2003,20 Oct 1983,Barcelona SC ,ECU,http://img.fifa.com/images/fwc/2014/players/prt-3/202280.png
Ecuador,ECU,Fidel MARTINEZ,Midfielder,8,2,176,Iran - Ecuador 17 Dec 2008,15 Feb 1990,Club Tijuana ,MEX,http://img.fifa.com/images/fwc/2014/players/prt-3/375459.png
Ecuador,ECU,Gabriel ACHILIER,Defender,25,0,183,Ecuador - Haiti 26 Mar 2008,24 Mar 1985,CS Emelec ,ECU,http://img.fifa.com/images/fwc/2014/players/prt-3/229450.png
Ecuador,ECU,Alexander DOMINGUEZ,Goalkeeper,21,0,196,Colombia - Ecuador 26 Mar 2011,05 Jun 1987,LDU Quito ,ECU,http://img.fifa.com/images/fwc/2014/players/prt-3/303419.png
Ecuador,ECU,Carlos GRUEZO,Midfielder,5,0,171,Netherlands - Ecuador 17 May 2014,19 Apr 1995,VfB Stuttgart ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/332827.png
Uruguay,URU,Fernando MUSLERA,Goalkeeper,62,0,190,Ecuador - Uruguay 10 Oct 2009,16 Jun 1986,Galatasaray SK ,TUR,http://img.fifa.com/images/fwc/2014/players/prt-3/229498.png
Uruguay,URU,Diego LUGANO,Defender,95,9,188,Uruguay - Iran 04 Feb 2003,02 Nov 1980,West Bromwich Albion FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/239433.png
Uruguay,URU,Diego GODIN,Defender,81,4,185,Mexico - Uruguay 26 Oct 2005,16 Feb 1986,Atletico Madrid ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/229499.png
Uruguay,URU,Jorge FUCILE,Defender,43,0,177,Romania - Uruguay 23 May 2006,19 Nov 1984,FC Porto ,POR,http://img.fifa.com/images/fwc/2014/players/prt-3/276132.png
Uruguay,URU,Walter GARGANO,Midfielder,64,1,168,Libya - Uruguay 30 May 2006,23 Jul 1984,Parma FC ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/276131.png
Uruguay,URU,Alvaro PEREIRA,Midfielder,60,6,182,France - Uruguay 19 Nov 2008,28 Nov 1985,Sao Paulo FC ,BRA,http://img.fifa.com/images/fwc/2014/players/prt-3/229502.png
Uruguay,URU,Cristian RODRIGUEZ,Midfielder,77,8,178,Mexico - Uruguay 15 Oct 2003,30 Sep 1985,Atletico Madrid ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/216567.png
Uruguay,URU,Abel HERNANDEZ,Forward,14,7,186,Angola - Uruguay 11 Aug 2010,08 Aug 1990,US Citta di Palermo ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/305372.png
Uruguay,URU,Luis SUAREZ,Forward,79,41,181,Colombia - Uruguay 07 Feb 2007,24 Jan 1987,Liverpool FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/270775.png
Uruguay,URU,Diego FORLAN,Forward,112,36,181,Saudi Arabia - Uruguay 27 Mar 2002,19 May 1979,Cerezo Osaka ,JPN,http://img.fifa.com/images/fwc/2014/players/prt-3/189259.png
Uruguay,URU,Cristhian STUANI,Forward,14,4,186,Poland - Uruguay 14 Nov 2012,12 Oct 1986,RCD Espanyol ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/229506.png
Uruguay,URU,Rodrigo MUNOZ,Goalkeeper,0,0,185,-,22 Jan 1982,Club Libertad ,PAR,http://img.fifa.com/images/fwc/2014/players/prt-3/319482.png
Uruguay,URU,Jose GIMENEZ,Defender,9,0,184,Uruguay - Colombia 10 Sep 2013,20 Jan 1995,Atletico Madrid ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/368655.png
Uruguay,URU,Nicolas LODEIRO,Midfielder,29,3,173,Costa Rica - Uruguay 14 Nov 2009,21 Mar 1989,Botafogo FR ,BRA,http://img.fifa.com/images/fwc/2014/players/prt-3/305378.png
Uruguay,URU,Diego PEREZ,Midfielder,89,2,176,Bolivia - Uruguay 13 Jul 2001,18 May 1980,Bologna FC ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/185359.png
Uruguay,URU,Maximiliano PEREIRA,Defender,93,3,173,Mexico - Uruguay 26 Oct 2005,08 Jun 1984,SL Benfica ,POR,http://img.fifa.com/images/fwc/2014/players/prt-3/286481.png
Uruguay,URU,Egidio AREVALO,Midfielder,59,0,168,Venezuela - Uruguay 27 Sep 2006,01 Jan 1982,CA Monarcas Morelia ,MEX,http://img.fifa.com/images/fwc/2014/players/prt-3/286238.png
Uruguay,URU,Gaston RAMIREZ,Midfielder,31,0,183,Indonesia - Uruguay 08 Oct 2010,02 Dec 1990,Southampton FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/312116.png
Uruguay,URU,Sebastian COATES,Defender,16,0,196,Uruguay - Estonia 23 Jun 2011,07 Oct 1990,Club Nacional de Football ,URU,http://img.fifa.com/images/fwc/2014/players/prt-3/305382.png
Uruguay,URU,Alvaro GONZALEZ,Midfielder,47,2,175,Romania - Uruguay 23 May 2006,29 Oct 1984,SS Lazio ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/286259.png
Uruguay,URU,Edinson CAVANI,Forward,66,22,188,Uruguay - Colombia 06 Feb 2008,14 Feb 1987,Paris Saint-Germain FC ,FRA,http://img.fifa.com/images/fwc/2014/players/prt-3/267834.png
Uruguay,URU,Martin CACERES,Defender,61,1,178,South Africa - Uruguay 12 Sep 2007,07 Apr 1987,Juventus FC ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/267829.png
Uruguay,URU,Martin SILVA,Goalkeeper,4,0,187,Algeria - Uruguay 12 Aug 2009,25 Mar 1983,CR Vasco da Gama ,BRA,http://img.fifa.com/images/fwc/2014/players/prt-3/175629.png
